book_id,original_publication_year,title,author
147,2007.0,Thirteen Reasons Why,Jay Asher
148,1999.0,Girl with a Pearl Earring,Tracy Chevalier
149,2009.0,"If I Stay (If I Stay, #1)",Gayle Forman
150,1997.0,The Red Tent,Anita Diamant
151,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan
152,2006.0,Dear John,Nicholas Sparks
153,2008.0,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare
154,1606.0,Macbeth,William Shakespeare
155,1954.0,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien
156,2004.0,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin
157,1960.0,Green Eggs and Ham,Dr. Seuss
158,1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl
159,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan
160,1860.0,Great Expectations,Charles Dickens
161,1955.0,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien
162,1942.0,The Stranger,Albert Camus
163,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan
164,2013.0,Eleanor & Park,Rainbow Rowell
165,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin
166,2010.0,"Matched (Matched, #1)",Ally Condie
167,2001.0,"American Gods (American Gods, #1)",Neil Gaiman
168,1978.0,The Stand,Stephen King
169,2008.0,The Last Song,Nicholas Sparks
170,1998.0,Digital Fortress,Dan Brown
171,1815.0,Emma,Jane Austen
172,1877.0,Anna Karenina,Leo Tolstoy
173,1962.0,A Clockwork Orange,Anthony Burgess
174,2007.0,The Shack,William Paul Young
175,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan
176,1986.0,It,Stephen King
177,1866.0,Crime and Punishment,Fyodor Dostoyevsky
178,1963.0,The Bell Jar,Sylvia Plath
179,1996.0,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt
180,1922.0,Siddhartha,Hermann Hesse
181,1965.0,In Cold Blood,Truman Capote
182,2009.0,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia
183,2010.0,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare
184,1988.0,Matilda,Roald Dahl
185,2011.0,The Night Circus,Erin Morgenstern
186,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory
187,2005.0,"Uglies (Uglies, #1)",Scott Westerfeld
188,2011.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin
189,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien
190,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
191,1987.0,Watchmen,Alan Moore
192,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
193,2008.0,Outliers: The Story of Success,Malcolm Gladwell
194,1851.0,"Moby-Dick or, The Whale",Herman Melville
195,2008.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
196,1996.0,Fight Club,Chuck Palahniuk
197,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris
198,1982.0,The Color Purple,Alice Walker
199,2005.0,Marley and Me: Life and Love With the World's Worst Dog,John Grogan
200,1939.0,And Then There Were None,Agatha Christie
201,2009.0,"The Lost Symbol (Robert Langdon, #3)",Dan Brown
202,2009.0,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick
203,2011.0,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire
204,1843.0,A Christmas Carol,Charles Dickens
205,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice
206,2012.0,"The Selection (The Selection, #1)",Kiera Cass
207,1994.0,"One for the Money (Stephanie Plum, #1)",Janet Evanovich
208,2010.0,The Immortal Life of Henrietta Lacks,Rebecca Skloot
209,1988.0,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris
210,2007.0,"Vampire Academy (Vampire Academy, #1)",Richelle Mead
211,2005.0,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
212,2001.0,Atonement,Ian McEwan
213,1915.0,The Metamorphosis,Franz Kafka
214,2007.0,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan
215,2011.0,Ready Player One,Ernest Cline
216,2006.0,The Art of Racing in the Rain,Garth Stein
217,2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson
218,2012.0,"Bared to You (Crossfire, #1)",Sylvia Day
219,1956.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis
220,,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz
221,1995.0,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer
222,1980.0,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum
223,2001.0,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer
224,2009.0,"Fallen (Fallen, #1)",Lauren Kate
225,1952.0,East of Eden,John Steinbeck
226,2009.0,Dark Places,Gillian Flynn
227,1993.0,The Client,John Grisham
228,2002.0,"The Nanny Diaries (Nanny, #1)",Emma McLaughlin
229,1865.0,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll
230,1817.0,Persuasion,Jane Austen
231,2007.0,Sarah's Key,Tatiana de Rosnay
232,1982.0,"The Gunslinger (The Dark Tower, #1)",Stephen King
233,1985.0,Love in the Time of Cholera,Gabriel García Márquez
234,1999.0,Speak,Laurie Halse Anderson
235,2013.0,The Husband's Secret,Liane Moriarty
236,1997.0,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer
237,1974.0,Carrie,Stephen King
238,2002.0,Running with Scissors,Augusten Burroughs
239,2006.0,World War Z: An Oral History of the Zombie War,Max Brooks
240,2013.0,"Inferno (Robert Langdon, #4)",Dan Brown
241,1989.0,Number the Stars,Lois Lowry
242,1993.0,"Along Came a Spider (Alex Cross, #1)",James Patterson
243,1987.0,Misery,Stephen King
244,2006.0,Sharp Objects,Gillian Flynn
245,1977.0,Bridge to Terabithia,Katherine Paterson
246,2007.0,"Marked (House of Night, #1)",P.C. Cast
247,1989.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey
248,1595.0,A Midsummer Night's Dream,William Shakespeare
249,2005.0,Extremely Loud and Incredibly Close,Jonathan Safran Foer
250,2012.0,Wonder,R.J. Palacio
251,1957.0,The Cat in the Hat,Dr. Seuss
252,2012.0,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer
253,2013.0,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith
254,2009.0,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater
255,1957.0,Atlas Shrugged,Ayn Rand
256,2006.0,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson
257,1865.0,Alice in Wonderland,Jane Carruth
258,2001.0,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Carlos Ruiz Zafón
259,2010.0,"The Scorch Trials (Maze Runner, #2)",James Dashner
260,1936.0,How to Win Friends and Influence People,Dale Carnegie
261,1996.0,Under the Tuscan Sun,Frances Mayes
262,2014.0,Big Little Lies,Liane Moriarty
263,1997.0,Ella Enchanted,Gail Carson Levine
264,1926.0,The Sun Also Rises,Ernest Hemingway
265,1943.0,A Tree Grows in Brooklyn,Betty  Smith
266,1995.0,"Kiss the Girls (Alex Cross, #2)",James Patterson
267,2015.0,The Nightingale,Kristin Hannah
268,2005.0,Never Let Me Go,Kazuo Ishiguro
269,2003.0,P.S. I Love You,Cecelia Ahern
270,1938.0,Rebecca,Daphne du Maurier
271,1966.0,Flowers for Algernon,Daniel Keyes
272,1989.0,Like Water for Chocolate,Laura Esquivel
273,2005.0,Snow Flower and the Secret Fan,Lisa See
274,1969.0,The Godfather,Mario Puzo
275,2006.0,An Abundance of Katherines,John Green
276,1951.0,Foundation (Foundation #1),Isaac Asimov
277,2013.0,The Ocean at the End of the Lane,Neil Gaiman
278,1981.0,A Light in the Attic,Shel Silverstein
279,2016.0,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",John Tiffany
280,2011.0,"Delirium (Delirium, #1)",Lauren Oliver
281,1992.0,The Pelican Brief,John Grisham
282,2002.0,Coraline,Neil Gaiman
283,1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett
284,1955.0,On the Road,Jack Kerouac
285,2013.0,"The Rosie Project (Don Tillman, #1)",Graeme Simsion
286,2008.0,The Lucky One,Nicholas Sparks
287,1943.0,The Fountainhead,Ayn Rand
288,1984.0,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy
289,1972.0,"Watership Down (Watership Down, #1)",Richard Adams
290,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling
291,2009.0,Cutting for Stone,Abraham Verghese
292,1951.0,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis
293,1882.0,Treasure Island,Robert Louis Stevenson
294,2011.0,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan
295,2011.0,11/22/63,Stephen King
296,1969.0,The Very Hungry Caterpillar Board Book,Eric Carle
297,1963.0,Cat's Cradle,Kurt Vonnegut Jr.
298,1895.0,The Time Machine,H.G. Wells
299,2010.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo
300,2006.0,The Boy in the Striped Pajamas,John Boyne
301,1899.0,Heart of Darkness,Joseph Conrad
302,2010.0,Safe Haven,Nicholas Sparks
303,2006.0,"The Secret (The Secret, #1)",Rhonda Byrne
304,1998.0,I Know This Much Is True,Wally Lamb
305,1983.0,Pet Sematary,Stephen King
306,1992.0,She's Come Undone,Wally Lamb
307,2011.0,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss
308,2003.0,Can You Keep a Secret?,Sophie Kinsella
309,2011.0,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare
310,2001.0,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner
311,1977.0,The Thorn Birds,Colleen McCullough
312,2008.0,The Graveyard Book,Neil Gaiman
313,2012.0,The Light Between Oceans,M.L. Stedman
314,2003.0,"Inkheart (Inkworld, #1)",Cornelia Funke
315,1998.0,Who Moved My Cheese?,Spencer Johnson
316,1997.0,A Walk in the Woods,Bill Bryson
317,1969.0,I Know Why the Caged Bird Sings,Maya Angelou
318,2013.0,Orphan Train,Christina Baker Kline
319,2012.0,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare
320,2012.0,"Where'd You Go, Bernadette",Maria Semple
321,1961.0,Where the Red Fern Grows,Wilson Rawls
322,1996.0,Neverwhere,Neil Gaiman
323,1984.0,The Unbearable Lightness of Being,Milan Kundera
324,2013.0,Fangirl,Rainbow Rowell
325,1989.0,A Prayer for Owen Meany,John Irving
326,1999.0,White Oleander,Janet Fitch
327,2011.0,"Legend (Legend, #1)",Marie Lu
328,2007.0,Nineteen Minutes,Jodi Picoult
329,2008.0,The Last Lecture,Randy Pausch
330,1990.0,"The Eye of the World (Wheel of Time, #1)",Robert Jordan
331,1998.0,The Pact,Jodi Picoult
332,1953.0,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis
333,2007.0,Still Alice,Lisa Genova
334,2012.0,"Reflected in You (Crossfire, #2)",Sylvia Day
335,1961.0,James and the Giant Peach,Roald Dahl
336,2001.0,"1st to Die (Women's Murder Club, #1)",James Patterson
337,1996.0,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams
338,2009.0,One Day,David Nicholls
339,1947.0,Goodnight Moon,Margaret Wise Brown
340,2010.0,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore
341,-750.0,The Iliad,Homer
342,2012.0,The Casual Vacancy,J.K. Rowling
343,1996.0,The Runaway Jury,John Grisham
344,1997.0,Naked,David Sedaris
345,2005.0,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini
346,1900.0,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum
347,1951.0,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis
348,2014.0,We Were Liars,E. Lockhart
349,1975.0,'Salem's Lot,Stephen King
350,1971.0,Fear and Loathing in Las Vegas,Hunter S. Thompson
351,2011.0,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare
352,2014.0,Yes Please,Amy Poehler
353,1603.0,Othello,William Shakespeare
354,1987.0,Beloved,Toni Morrison
355,2008.0,"Graceling (Graceling Realm, #1)",Kristin Cashore
356,1999.0,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket
357,1929.0,All Quiet on the Western Front,Erich Maria Remarque
358,1990.0,"Oh, The Places You'll Go!",Dr. Seuss
359,2012.0,And the Mountains Echoed,Khaled Hosseini
360,1968.0,Do Androids Dream of Electric Sheep?,Philip K. Dick
361,1838.0,Oliver Twist,Charles Dickens
362,1942.0,The Screwtape Letters,C.S. Lewis
363,2010.0,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins
364,1957.0,How the Grinch Stole Christmas!,Dr. Seuss
365,1990.0,V for Vendetta,Alan Moore
366,2001.0,John Adams,David McCullough
367,2003.0,"Odd Thomas (Odd Thomas, #1)",Dean Koontz
368,1997.0,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman
369,2000.0,"Stargirl (Stargirl, #1)",Jerry Spinelli
370,2010.0,"The Red Pyramid (Kane Chronicles, #1)",Rick Riordan
371,1961.0,Stranger in a Strange Land,Robert A. Heinlein
372,2004.0,Dress Your Family in Corduroy and Denim,David Sedaris
373,1982.0,The BFG,Roald Dahl
374,2003.0,A Short History of Nearly Everything,Bill Bryson
375,1903.0,The Call of the Wild,Jack London
376,2011.0,"The Death Cure (Maze Runner, #3)",James Dashner
377,1999.0,Stardust,Neil Gaiman
378,2003.0,The Namesake,Jhumpa Lahiri
379,2011.0,"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness
380,1987.0,Norwegian Wood,Haruki Murakami
381,1995.0,Where the Heart Is,Billie Letts
382,2010.0,"Will Grayson, Will Grayson",John Green
383,2003.0,A Million Little Pieces,James Frey
384,2008.0,"Frostbite (Vampire Academy, #2)",Richelle Mead
385,2012.0,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain
386,1960.0,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott O'Dell
387,1953.0,The Crucible,Arthur Miller
388,1986.0,"Hatchet (Brian's Saga, #1)",Gary Paulsen
389,2006.0,"The Final Empire (Mistborn, #1)",Brandon Sanderson
390,1886.0,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
391,1971.0,The Lorax,Dr. Seuss
392,2004.0,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney
393,2012.0,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas
394,2008.0,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead
395,1940.0,For Whom the Bell Tolls,Ernest Hemingway
396,2009.0,Hotel on the Corner of Bitter and Sweet,Jamie Ford
397,1985.0,Perfume: The Story of a Murderer,Patrick Süskind
398,2001.0,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
399,2007.0,The Tales of Beedle the Bard,J.K. Rowling
400,1984.0,Neuromancer,William Gibson
401,1929.0,A Farewell to Arms,Ernest Hemingway
402,1843.0,The Tell-Tale Heart and Other Writings,Edgar Allan Poe
403,-500.0,The Art of War,Sun Tzu
404,2012.0,Defending Jacob,William Landay
405,1973.0,Breakfast of Champions,Kurt Vonnegut Jr.
406,1979.0,The New Drawing on the Right Side of the Brain,Betty Edwards
407,2001.0,Bel Canto,Ann Patchett
408,1997.0,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
409,1987.0,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
410,1958.0,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe
411,2005.0,The Undomestic Goddess,Sophie Kinsella
412,1990.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman
413,1844.0,The Three Musketeers,Alexandre Dumas
414,2008.0,Little Bee,Chris Cleave
415,2009.0,"Evermore (The Immortals, #1)",Alyson Noel
416,1983.0,The Witches,Roald Dahl
417,2006.0,The Thirteenth Tale,Diane Setterfield
418,2010.0,"Spirit Bound (Vampire Academy, #5)",Richelle Mead
419,2009.0,"Blood Promise (Vampire Academy, #4)",Richelle Mead
420,1998.0,Message in a Bottle,Nicholas Sparks
421,2011.0,The Paris Wife,Paula McLain
422,1998.0,"Harry Potter Boxset (Harry Potter, #1-7)",J.K. Rowling
423,2013.0,"The Elite (The Selection, #2)",Kiera Cass
424,1980.0,The Name of the Rose,Umberto Eco
425,1971.0,Go Ask Alice,Beatrice Sparks
426,1980.0,A Confederacy of Dunces,John Kennedy Toole
427,1895.0,The Importance of Being Earnest,Oscar Wilde
428,2012.0,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan
429,1983.0,"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett
430,2002.0,Kafka on the Shore,Haruki Murakami
431,1981.0,"Red Dragon (Hannibal Lecter, #1)",Thomas Harris
432,1950.0,"I, Robot (Robot #0.1)",Isaac Asimov
433,2005.0,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward
434,2010.0,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick
435,2010.0,Before I Fall,Lauren Oliver
436,1997.0,The God of Small Things,Arundhati Roy
437,2014.0,The Invention of Wings,Sue Monk Kidd
438,2009.0,What Alice Forgot,Liane Moriarty
439,1987.0,A Brief History of Time,Stephen Hawking
440,2010.0,"Fall of Giants (The Century Trilogy, #1)",Ken Follett
441,2009.0,Under the Dome,Stephen King
442,1992.0,Snow Crash,Neal Stephenson
443,2006.0,Just Listen,Sarah Dessen
444,1926.0,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne
445,2011.0,Before I Go to Sleep,S.J. Watson
446,1887.0,A Study in Scarlet,Arthur Conan Doyle
447,2008.0,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini
448,2002.0,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren
449,2007.0,"Betrayed (House of Night, #2)",P.C. Cast
450,2000.0,"Storm Front (The Dresden Files, #1)",Jim Butcher
451,1817.0,Northanger Abbey,Jane Austen
452,2013.0,"The 5th Wave (The 5th Wave, #1)",Rick Yancey
453,1997.0,Cold Mountain,Charles Frazier
